"Numero de la station";"Nom de la station";Jour;Heure;tm;glot;um
97416465;"Ligne Paradis";"01-09-2002 0:00";1;17.0;0;88.0
97416465;"Ligne Paradis";"01-09-2002 1:00";2;18.0;0;87.0
97416465;"Ligne Paradis";"01-09-2002 2:00";3;19.2;0;87.0
97416465;"Ligne Paradis";"01-09-2002 3:00";4;17.3;0;89.0
97416465;"Ligne Paradis";"01-09-2002 4:00";5;16.9;0;92.0
97416465;"Ligne Paradis";"01-09-2002 5:00";6;18.3;0;84.0
97416465;"Ligne Paradis";"01-09-2002 6:00";7;18.8;6;82.0
97416465;"Ligne Paradis";"01-09-2002 7:00";8;21.3;40;77.0
97416465;"Ligne Paradis";"01-09-2002 8:00";9;25.0;164;61.0
97416465;"Ligne Paradis";"01-09-2002 9:00";10;25.1;246;59.0
97416465;"Ligne Paradis";"01-09-2002 10:00";11;25.6;282;61.0
97416465;"Ligne Paradis";"01-09-2002 11:00";12;25.7;322;56.0
97416465;"Ligne Paradis";"01-09-2002 12:00";13;26.2;280;59.0
97416465;"Ligne Paradis";"01-09-2002 13:00";14;26.1;238;57.0
97416465;"Ligne Paradis";"01-09-2002 14:00";15;26.3;258;58.0
97416465;"Ligne Paradis";"01-09-2002 15:00";16;26.0;162;58.0
97416465;"Ligne Paradis";"01-09-2002 16:00";17;24.9;104;63.0
97416465;"Ligne Paradis";"01-09-2002 17:00";18;22.1;30;71.0
97416465;"Ligne Paradis";"01-09-2002 18:00";19;19.1;0;83.0
97416465;"Ligne Paradis";"01-09-2002 19:00";20;18.7;0;91.0
97416465;"Ligne Paradis";"01-09-2002 20:00";21;19.8;0;88.0
97416465;"Ligne Paradis";"01-09-2002 21:00";22;18.1;0;86.0
97416465;"Ligne Paradis";"01-09-2002 22:00";23;18.0;0;85.0
97416465;"Ligne Paradis";"01-09-2002 23:00";24;18.2;0;82.0
97416465;"Ligne Paradis";"02-09-2002 0:00";1;17.1;0;76.0
97416465;"Ligne Paradis";"02-09-2002 1:00";2;17.5;0;71.0
97416465;"Ligne Paradis";"02-09-2002 2:00";3;17.0;0;74.0
97416465;"Ligne Paradis";"02-09-2002 3:00";4;16.8;0;72.0
97416465;"Ligne Paradis";"02-09-2002 4:00";5;16.9;0;72.0
97416465;"Ligne Paradis";"02-09-2002 5:00";6;16.8;0;76.0
97416465;"Ligne Paradis";"02-09-2002 6:00";7;17.1;4;76.0
97416465;"Ligne Paradis";"02-09-2002 7:00";8;20.2;68;62.0
97416465;"Ligne Paradis";"02-09-2002 8:00";9;23.9;158;54.0
97416465;"Ligne Paradis";"02-09-2002 9:00";10;24.4;232;52.0
97416465;"Ligne Paradis";"02-09-2002 10:00";11;25.1;282;55.0
97416465;"Ligne Paradis";"02-09-2002 11:00";12;25.7;314;54.0
97416465;"Ligne Paradis";"02-09-2002 12:00";13;27.2;298;49.0
97416465;"Ligne Paradis";"02-09-2002 13:00";14;26.8;298;49.0
97416465;"Ligne Paradis";"02-09-2002 14:00";15;26.6;260;46.0
97416465;"Ligne Paradis";"02-09-2002 15:00";16;25.8;182;49.0
97416465;"Ligne Paradis";"02-09-2002 16:00";17;24.2;94;57.0
97416465;"Ligne Paradis";"02-09-2002 17:00";18;20.9;28;69.0
97416465;"Ligne Paradis";"02-09-2002 18:00";19;19.6;0;82.0
97416465;"Ligne Paradis";"02-09-2002 19:00";20;19.0;0;86.0
97416465;"Ligne Paradis";"02-09-2002 20:00";21;18.2;0;80.0
97416465;"Ligne Paradis";"02-09-2002 21:00";22;17.0;0;77.0
97416465;"Ligne Paradis";"02-09-2002 22:00";23;17.7;0;78.0
97416465;"Ligne Paradis";"02-09-2002 23:00";24;17.3;0;75.0
97416465;"Ligne Paradis";"03-09-2002 0:00";1;17.3;0;74.0
97416465;"Ligne Paradis";"03-09-2002 1:00";2;17.9;0;68.0
97416465;"Ligne Paradis";"03-09-2002 2:00";3;16.9;0;77.0
97416465;"Ligne Paradis";"03-09-2002 3:00";4;17.1;0;65.0
97416465;"Ligne Paradis";"03-09-2002 4:00";5;16.7;0;68.0
97416465;"Ligne Paradis";"03-09-2002 5:00";6;17.1;0;58.0
97416465;"Ligne Paradis";"03-09-2002 6:00";7;17.4;4;59.0
97416465;"Ligne Paradis";"03-09-2002 7:00";8;21.4;72;52.0
97416465;"Ligne Paradis";"03-09-2002 8:00";9;23.9;162;45.0
97416465;"Ligne Paradis";"03-09-2002 9:00";10;24.1;240;54.0
97416465;"Ligne Paradis";"03-09-2002 10:00";11;24.3;292;52.0
97416465;"Ligne Paradis";"03-09-2002 11:00";12;25.8;324;47.0
97416465;"Ligne Paradis";"03-09-2002 12:00";13;24.7;326;48.0
97416465;"Ligne Paradis";"03-09-2002 13:00";14;25.4;304;50.0
97416465;"Ligne Paradis";"03-09-2002 14:00";15;24.8;262;51.0
97416465;"Ligne Paradis";"03-09-2002 15:00";16;24.6;194;53.0
97416465;"Ligne Paradis";"03-09-2002 16:00";17;23.2;106;54.0
97416465;"Ligne Paradis";"03-09-2002 17:00";18;21.1;28;63.0
97416465;"Ligne Paradis";"03-09-2002 18:00";19;19.4;0;75.0
97416465;"Ligne Paradis";"03-09-2002 19:00";20;17.6;0;78.0
97416465;"Ligne Paradis";"03-09-2002 20:00";21;17.9;0;79.0
97416465;"Ligne Paradis";"03-09-2002 21:00";22;17.0;0;78.0
97416465;"Ligne Paradis";"03-09-2002 22:00";23;17.4;0;76.0
97416465;"Ligne Paradis";"03-09-2002 23:00";24;17.3;0;67.0
97416465;"Ligne Paradis";"04-09-2002 0:00";1;17.4;0;65.0
97416465;"Ligne Paradis";"04-09-2002 1:00";2;17.4;0;71.0
97416465;"Ligne Paradis";"04-09-2002 2:00";3;17.1;0;69.0
