"Numero de la station";"Nom de la station";Jour;Heure;tm;glot;um
97416465;"Ligne Paradis";"01-01-2002 01:00:00";1;22.1;0;102.0
97416465;"Ligne Paradis";"01-01-2002 02:00:00";2;22.4;0;102.0
97416465;"Ligne Paradis";"01-01-2002 03:00:00";3;22.5;0;102.0
97416465;"Ligne Paradis";"01-01-2002 04:00:00";4;23.1;0;102.0
97416465;"Ligne Paradis";"01-01-2002 05:00:00";5;22.7;0;100.0
97416465;"Ligne Paradis";"01-01-2002 06:00:00";6;22.7;2;99.0
97416465;"Ligne Paradis";"01-01-2002 07:00:00";7;23.6;14;94.0
97416465;"Ligne Paradis";"01-01-2002 08:00:00";8;26.0;58;87.0
97416465;"Ligne Paradis";"01-01-2002 09:00:00";9;26.6;112;83.0
97416465;"Ligne Paradis";"01-01-2002 10:00:00";10;26.4;100;85.0
97416465;"Ligne Paradis";"01-01-2002 11:00:00";11;27.2;138;79.0
97416465;"Ligne Paradis";"01-01-2002 12:00:00";12;27.0;204;75.0
97416465;"Ligne Paradis";"01-01-2002 13:00:00";13;28.3;302;65.0
97416465;"Ligne Paradis";"01-01-2002 14:00:00";14;27.7;234;72.0
97416465;"Ligne Paradis";"01-01-2002 15:00:00";15;29.1;158;72.0
97416465;"Ligne Paradis";"01-01-2002 16:00:00";16;25.3;126;82.0
97416465;"Ligne Paradis";"01-01-2002 17:00:00";17;25.9;52;83.0
97416465;"Ligne Paradis";"01-01-2002 18:00:00";18;25.0;42;80.0
97416465;"Ligne Paradis";"01-01-2002 19:00:00";19;24.7;8;85.0
97416465;"Ligne Paradis";"01-01-2002 20:00:00";20;24.0;0;90.0
97416465;"Ligne Paradis";"01-01-2002 21:00:00";21;22.6;0;97.0
97416465;"Ligne Paradis";"01-01-2002 22:00:00";22;23.1;0;100.0
97416465;"Ligne Paradis";"01-01-2002 23:00:00";23;22.7;0;100.0
97416465;"Ligne Paradis";"02-01-2002 00:00:00";24;22.7;0;100.0
97416465;"Ligne Paradis";"02-01-2002 01:00:00";1;23.1;0;97.0
97416465;"Ligne Paradis";"02-01-2002 02:00:00";2;23.9;0;87.0
97416465;"Ligne Paradis";"02-01-2002 03:00:00";3;22.8;0;90.0
97416465;"Ligne Paradis";"02-01-2002 04:00:00";4;22.9;0;90.0
97416465;"Ligne Paradis";"02-01-2002 05:00:00";5;23.3;0;87.0
97416465;"Ligne Paradis";"02-01-2002 06:00:00";6;23.0;2;88.0
97416465;"Ligne Paradis";"02-01-2002 07:00:00";7;25.1;20;76.0
97416465;"Ligne Paradis";"02-01-2002 08:00:00";8;25.8;44;70.0
97416465;"Ligne Paradis";"02-01-2002 09:00:00";9;25.8;72;82.0
