q5	q10	q25	q50	q75	q90	q95	moy
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.2375	0.027439024
0	0	0.001329784	0.053595792	0.476068341	0.732725305	0.862467363	0.245205854
0	0.002576737	0.127518165	0.903799567	1	1	1	0.620108234
0.006793106	0.05971618	0.587955259	1	1	1	1	0.766376656
0.016730759	0.148387686	0.914365914	1	1	1	1	0.833019614
0.11552774	0.585545097	0.991459349	1	1	1	1	0.892664289
0.201523652	0.810345489	1	1	1	1	1	0.923960475
0.386997989	0.837956288	1	1	1	1	1	0.93454137
0.306776618	0.774916717	1	1	1	1	1	0.921597643
0.05145345	0.373464741	0.989380223	1	1	1	1	0.887071337
0.03717448	0.111291792	0.796152968	1	1	1	1	0.815076731
0.004194766	0.018924779	0.37293605	0.925591051	1	1	1	0.685450188
0	0.001522419	0.046407966	0.176417148	0.577797951	0.816822173	0.899763505	0.321164901
0	0	0.000270248	0.005688648	0.052708876	0.127349519	0.166046175	0.042236298
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
