DATE;TM;TN;TX;DAB_f1;DEGJOUR_f1;DAB_f2;DEGJOUR_f2
01/08/2002;20.05;14.7;25.4;;;;
02/08/2002;20.65;16.2;25.1;;;;
03/08/2002;21.25;16.6;25.9;;;;
04/08/2002;21;15.3;26.7;;;;
05/08/2002;19.55;15.5;23.6;;;;
06/08/2002;21.1;18.2;24;;;;
07/08/2002;19.05;14.8;23.3;;;;
08/08/2002;19.3;15.6;23;;;;
09/08/2002;18.6;14.7;22.5;;;;
10/08/2002;18.8;15.6;22;;;;
11/08/2002;20.2;15.3;25.1;;;;
12/08/2002;20;15;25;;;;
13/08/2002;20.5;14.9;26.1;;;;
14/08/2002;20.15;14.5;25.8;;;;
15/08/2002;20.35;15.1;25.6;;;;
16/08/2002;19.7;16.1;23.3;;;;
17/08/2002;19.8;15.7;23.9;;;;
18/08/2002;19.35;15.8;22.9;;;;
19/08/2002;19.6;15.2;24;0;1.1;;
20/08/2002;19.8;16.8;23.8;1;5.4;;
21/08/2002;20.8;16;25.9;2;10.4;;
22/08/2002;20.3;16;24.3;3;14.5;;
23/08/2002;20.1;14.9;26;4;19.1;;
24/08/2002;19.9;15.2;25.8;5;23.6;;
25/08/2002;19.5;15.5;25.4;6;28.1;;
26/08/2002;19.8;13.4;25.6;7;31.4;;
27/08/2002;19.9;13.5;25.6;8;34.8;;
28/08/2002;20.7;14.6;26.2;9;39.2;;
29/08/2002;20.7;14.8;25.5;10;43.4;;
30/08/2002;20.6;17.5;25;11;48.7;;
31/08/2002;20.4;14.4;26;12;52.9;;
01/09/2002;21.3;16.4;26.6;13;58.4;;
02/09/2002;20.7;16;27.2;14;64;;
03/09/2002;20.5;15.6;26.2;15;68.9;;
04/09/2002;20.4;16.1;26.4;16;74.2;0;
05/09/2002;20.9;16.7;27.1;17;80.1;1;
06/09/2002;20.4;16.8;26.7;18;85.8;2;
07/09/2002;19.9;15.9;25.7;19;90.6;3;
08/09/2002;20.4;16.6;26.3;20;96.1;4;
09/09/2002;21.1;16.6;27.2;21;102;5;
10/09/2002;20.7;15.7;27.6;22;107.6;6;
11/09/2002;20.8;16;26.8;23;113;7;
12/09/2002;20.5;16;26.5;24;118.3;8;
13/09/2002;20.5;16;26.3;25;123.4;9;
14/09/2002;18.9;16.5;22.8;26;127.1;10;
15/09/2002;18.5;15.3;22;27;129.8;11;
16/09/2002;18;15;22.5;28;132.6;12;
17/09/2002;18.8;14.6;22.9;29;135.3;13;
18/09/2002;19.6;13.6;25.8;30;138.8;14;
19/09/2002;20.1;15.2;26.3;31;143.6;15;
20/09/2002;20.1;16.5;25.6;32;148.7;16;
21/09/2002;20;16;25.7;33;153.5;17;
22/09/2002;20.4;15.8;26.3;34;158.6;18;
23/09/2002;20.7;16.8;26.7;35;164.4;19;
24/09/2002;20.9;16.6;27.2;36;170.3;20;
25/09/2002;21.9;18;28.3;37;177.4;21;
26/09/2002;21;15.8;26.5;38;182.6;22;
27/09/2002;21.5;16.5;27.4;39;188.5;23;
28/09/2002;21;16;27.4;40;194.2;24;
29/09/2002;20.4;15.4;27;41;199.5;25;
30/09/2002;20.9;15.8;26.1;42;204.4;26;
01/10/2002;21.5;16.7;27.6;43;210.6;27;
02/10/2002;21.5;16.2;27.2;44;216.3;28;
03/10/2002;22.2;17.7;28;45;223.1;29;
04/10/2002;21.8;17.5;28;46;229.9;30;
05/10/2002;21.4;16.7;27;47;235.7;31;
06/10/2002;21.8;15.8;27.9;48;241.6;32;
07/10/2002;21.9;16.8;28.6;49;248.3;33;
08/10/2002;21.8;16.4;27.8;50;254.4;34;
09/10/2002;21.6;16.9;27;51;260.3;35;
10/10/2002;21.2;17.5;26.6;52;266.4;36;
11/10/2002;21.1;19.2;25.7;53;272.8;37;
12/10/2002;19.5;18;22.6;54;277.1;38;
13/10/2002;20.6;18.4;24.7;55;282.7;39;
14/10/2002;20.4;16.3;25.2;56;287.4;40;
15/10/2002;19.8;16.6;24.5;57;292;41;
16/10/2002;20.4;15.4;25.6;58;296.5;42;
17/10/2002;21.5;16.1;26.3;59;301.7;43;
18/10/2002;21.3;15.2;26.5;60;306.6;44;
19/10/2002;21.8;16.8;27.9;61;313;45;
20/10/2002;22.7;18.7;29;62;320.8;46;
21/10/2002;22.8;18.7;27.1;63;327.7;47;
22/10/2002;22.5;17.5;27.8;64;334.4;48;
23/10/2002;21.4;17.6;26.9;65;340.6;49;
24/10/2002;21.2;16.1;26.2;66;345.8;50;
25/10/2002;21.5;17.8;26;67;351.7;51;
26/10/2002;21.9;17.3;26.9;68;357.8;52;
27/10/2002;21.8;17.8;27.4;69;364.4;53;
28/10/2002;21.9;17.2;27.2;70;370.6;54;
29/10/2002;22.3;17.8;27.3;71;377.1;55;
30/10/2002;22.4;18.4;28.9;72;384.8;56;
31/10/2002;22.4;17.1;29.8;73;392.2;57;
01/11/2002;22.2;17.8;27.9;74;399.1;58;
02/11/2002;22.8;18.1;27;75;405.6;59;
03/11/2002;22.7;18.5;28.5;76;413.1;60;
04/11/2002;23.8;18.2;30.8;77;421.6;61;
05/11/2002;24.1;21.7;28.7;78;430.8;62;
06/11/2002;23.2;20.3;28.4;79;439.2;63;
07/11/2002;23.1;18.7;28.7;80;446.9;64;
08/11/2002;22.5;18;28.6;81;454.2;65;
09/11/2002;23.3;18.5;28.8;82;461.8;66;
10/11/2002;24.1;19.8;28.9;83;470.2;67;
11/11/2002;23.5;19.4;29.3;84;478.5;68;
12/11/2002;23.4;19.2;28.9;85;486.6;69;
13/11/2002;22.5;17.8;28.1;86;493.5;70;
14/11/2002;23.3;19;28.4;87;501.2;71;
15/11/2002;23.7;20;29.3;88;509.9;72;
16/11/2002;24.3;19;30;89;518.4;73;
17/11/2002;23.6;19.6;28.9;90;526.6;74;
18/11/2002;23.4;18.6;28.8;91;534.3;75;
19/11/2002;24.4;19.3;28.6;92;542.3;76;
20/11/2002;24.8;17.2;29.7;93;549.7;77;
21/11/2002;24.4;21.7;29.1;94;559.1;78;
22/11/2002;24.3;22;28.5;95;568.4;79;
23/11/2002;23.8;18.5;29.2;96;576.2;80;
24/11/2002;23.1;16.7;29.4;97;583.3;81;
25/11/2002;23.2;17.8;28.7;98;590.5;82;
26/11/2002;23.5;19;29.1;99;598.6;83;
27/11/2002;24.6;19.3;31.8;100;608.1;84;
28/11/2002;24;21.3;27.4;101;616.5;85;
29/11/2002;24.7;20.1;28.8;102;624.9;86;
30/11/2002;25.1;21.6;29.6;103;634.5;87;
01/12/2002;25.1;21.3;29.6;104;644;88;
02/12/2002;23.7;22.1;27.2;105;652.6;89;
03/12/2002;23.3;21.6;27.1;106;661;90;
04/12/2002;22.4;21.6;23.9;107;667.7;91;
05/12/2002;24;20.2;29.3;108;676.5;92;
06/12/2002;24.4;21.1;29;109;685.5;93;
07/12/2002;24.2;19.7;30.2;110;694.5;94;
08/12/2002;23.9;19.4;28.1;111;702.2;95;
09/12/2002;24.6;20.1;29.3;112;710.9;96;
10/12/2002;24.8;21.3;29.1;113;720.1;97;
