DATE;HOUR;GR;PAR;T;RH;DATETIME;;;;;;
01/09/2002;1;0;0;17;88;01/09/2002 01:00;;;;;;
01/09/2002;2;0;0;18;87;01/09/2002 02:00;;;;;;
01/09/2002;3;0;0;19.2;87;01/09/2002 03:00;;;;;;
01/09/2002;4;0;0;17.3;89;01/09/2002 04:00;;;;;;
01/09/2002;5;0;0;16.9;92;01/09/2002 05:00;;;;;;
01/09/2002;6;0;0;18.3;84;01/09/2002 06:00;;;;;;
01/09/2002;7;6;38.34;18.8;82;01/09/2002 07:00;;;;;;
01/09/2002;8;40;255.6;21.3;77;01/09/2002 08:00;;;;;;
01/09/2002;9;164;1047.96;25;61;01/09/2002 09:00;;;;;;
01/09/2002;10;246;1571.94;25.1;59;01/09/2002 10:00;;;;;;
01/09/2002;11;282;1801.98;25.6;61;01/09/2002 11:00;;;;;;
01/09/2002;12;322;2057.58;25.7;56;01/09/2002 12:00;;;;;;
01/09/2002;13;280;1789.2;26.2;59;01/09/2002 13:00;;;;;;
01/09/2002;14;238;1520.82;26.1;57;01/09/2002 14:00;;;;;;
01/09/2002;15;258;1648.62;26.3;58;01/09/2002 15:00;;;;;;
01/09/2002;16;162;1035.18;26;58;01/09/2002 16:00;;;;;;
01/09/2002;17;104;664.56;24.9;63;01/09/2002 17:00;;;;;;
01/09/2002;18;30;191.7;22.1;71;01/09/2002 18:00;;;;;;
01/09/2002;19;0;0;19.1;83;01/09/2002 19:00;;;;;;
01/09/2002;20;0;0;18.7;91;01/09/2002 20:00;;;;;;
01/09/2002;21;0;0;19.8;88;01/09/2002 21:00;;;;;;
01/09/2002;22;0;0;18.1;86;01/09/2002 22:00;;;;;;
01/09/2002;23;0;0;18;85;01/09/2002 23:00;;;;;;
01/09/2002;24;0;0;18.2;82;02/09/2002 00:00;;;;;;
02/09/2002;1;0;0;17.1;76;02/09/2002 01:00;;;;;;
02/09/2002;2;0;0;17.5;71;02/09/2002 02:00;;;;;;
02/09/2002;3;0;0;17;74;02/09/2002 03:00;;;;;;
02/09/2002;4;0;0;16.8;72;02/09/2002 04:00;;;;;;
02/09/2002;5;0;0;16.9;72;02/09/2002 05:00;;;;;;
02/09/2002;6;0;0;16.8;76;02/09/2002 06:00;;;;;;
02/09/2002;7;4;25.56;17.1;76;02/09/2002 07:00;;;;;;
02/09/2002;8;68;434.52;20.2;62;02/09/2002 08:00;;;;;;
02/09/2002;9;158;1009.62;23.9;54;02/09/2002 09:00;;;;;;
02/09/2002;10;232;1482.48;24.4;52;02/09/2002 10:00;;;;;;
02/09/2002;11;282;1801.98;25.1;55;02/09/2002 11:00;;;;;;
02/09/2002;12;314;2006.46;25.7;54;02/09/2002 12:00;;;;;;
02/09/2002;13;298;1904.22;27.2;49;02/09/2002 13:00;;;;;;
02/09/2002;14;298;1904.22;26.8;49;02/09/2002 14:00;;;;;;
02/09/2002;15;260;1661.4;26.6;46;02/09/2002 15:00;;;;;;
02/09/2002;16;182;1162.98;25.8;49;02/09/2002 16:00;;;;;;
02/09/2002;17;94;600.66;24.2;57;02/09/2002 17:00;;;;;;
02/09/2002;18;28;178.92;20.9;69;02/09/2002 18:00;;;;;;
02/09/2002;19;0;0;19.6;82;02/09/2002 19:00;;;;;;
02/09/2002;20;0;0;19;86;02/09/2002 20:00;;;;;;
02/09/2002;21;0;0;18.2;80;02/09/2002 21:00;;;;;;
02/09/2002;22;0;0;17;77;02/09/2002 22:00;;;;;;
02/09/2002;23;0;0;17.7;78;02/09/2002 23:00;;;;;;
02/09/2002;24;0;0;17.3;75;03/09/2002 00:00;;;;;;
03/09/2002;1;0;0;17.3;74;03/09/2002 01:00;;;;;;
03/09/2002;2;0;0;17.9;68;03/09/2002 02:00;;;;;;
03/09/2002;3;0;0;16.9;77;03/09/2002 03:00;;;;;;
03/09/2002;4;0;0;17.1;65;03/09/2002 04:00;;;;;;
03/09/2002;5;0;0;16.7;68;03/09/2002 05:00;;;;;;
03/09/2002;6;0;0;17.1;58;03/09/2002 06:00;;;;;;
03/09/2002;7;4;25.56;17.4;59;03/09/2002 07:00;;;;;;
03/09/2002;8;72;460.08;21.4;52;03/09/2002 08:00;;;;;;
03/09/2002;9;162;1035.18;23.9;45;03/09/2002 09:00;;;;;;
03/09/2002;10;240;1533.6;24.1;54;03/09/2002 10:00;;;;;;
03/09/2002;11;292;1865.88;24.3;52;03/09/2002 11:00;;;;;;
03/09/2002;12;324;2070.36;25.8;47;03/09/2002 12:00;;;;;;
03/09/2002;13;326;2083.14;24.7;48;03/09/2002 13:00;;;;;;
03/09/2002;14;304;1942.56;25.4;50;03/09/2002 14:00;;;;;;
03/09/2002;15;262;1674.18;24.8;51;03/09/2002 15:00;;;;;;
03/09/2002;16;194;1239.66;24.6;53;03/09/2002 16:00;;;;;;
03/09/2002;17;106;677.34;23.2;54;03/09/2002 17:00;;;;;;
03/09/2002;18;28;178.92;21.1;63;03/09/2002 18:00;;;;;;
03/09/2002;19;0;0;19.4;75;03/09/2002 19:00;;;;;;
03/09/2002;20;0;0;17.6;78;03/09/2002 20:00;;;;;;
03/09/2002;21;0;0;17.9;79;03/09/2002 21:00;;;;;;
03/09/2002;22;0;0;17;78;03/09/2002 22:00;;;;;;
03/09/2002;23;0;0;17.4;76;03/09/2002 23:00;;;;;;
03/09/2002;24;0;0;17.3;67;04/09/2002 00:00;;;;;;
04/09/2002;1;0;0;17.4;65;04/09/2002 01:00;;;;;;
04/09/2002;2;0;0;17.4;71;04/09/2002 02:00;;;;;;
04/09/2002;3;0;0;17.1;69;04/09/2002 03:00;;;;;;
04/09/2002;4;0;0;16.6;76;04/09/2002 04:00;;;;;;
04/09/2002;5;0;0;16.5;81;04/09/2002 05:00;;;;;;
04/09/2002;6;0;0;16.7;80;04/09/2002 06:00;;;;;;
04/09/2002;7;4;25.56;17;77;04/09/2002 07:00;;;;;;
04/09/2002;8;66;421.74;20.9;71;04/09/2002 08:00;;;;;;
04/09/2002;9;158;1009.62;23.9;64;04/09/2002 09:00;;;;;;
04/09/2002;10;240;1533.6;24.1;61;04/09/2002 10:00;;;;;;
04/09/2002;11;292;1865.88;25;56;04/09/2002 11:00;;;;;;
04/09/2002;12;328;2095.92;25.4;54;04/09/2002 12:00;;;;;;
04/09/2002;13;328;2095.92;25.5;51;04/09/2002 13:00;;;;;;
04/09/2002;14;306;1955.34;25;51;04/09/2002 14:00;;;;;;
04/09/2002;15;262;1674.18;25.5;55;04/09/2002 15:00;;;;;;
04/09/2002;16;194;1239.66;23.5;62;04/09/2002 16:00;;;;;;
04/09/2002;17;114;728.46;22.5;71;04/09/2002 17:00;;;;;;
04/09/2002;18;34;217.26;21.3;66;04/09/2002 18:00;;;;;;
04/09/2002;19;0;0;19.7;78;04/09/2002 19:00;;;;;;
04/09/2002;20;0;0;18.3;83;04/09/2002 20:00;;;;;;
04/09/2002;21;0;0;18.7;87;04/09/2002 21:00;;;;;;
04/09/2002;22;0;0;17.8;84;04/09/2002 22:00;;;;;;
04/09/2002;23;0;0;17.6;87;04/09/2002 23:00;;;;;;
04/09/2002;24;0;0;17.7;80;05/09/2002 00:00;;;;;;
05/09/2002;1;0;0;17.1;79;05/09/2002 01:00;;;;;;
05/09/2002;2;0;0;17.1;81;05/09/2002 02:00;;;;;;
05/09/2002;3;0;0;17.2;81;05/09/2002 03:00;;;;;;
05/09/2002;4;0;0;17.8;75;05/09/2002 04:00;;;;;;
05/09/2002;5;0;0;17.5;76;05/09/2002 05:00;;;;;;
05/09/2002;6;0;0;17.2;76;05/09/2002 06:00;;;;;;
05/09/2002;7;4;25.56;18.9;80;05/09/2002 07:00;;;;;;
05/09/2002;8;84;536.76;22.4;61;05/09/2002 08:00;;;;;;
05/09/2002;9;172;1099.08;23.2;60;05/09/2002 09:00;;;;;;
05/09/2002;10;242;1546.38;23.6;66;05/09/2002 10:00;;;;;;
05/09/2002;11;292;1865.88;25.1;51;05/09/2002 11:00;;;;;;
