"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8-9","0","0",0.372093023255805,43
"11-12-1","0","0",0.791666666666574,24
"2-3","0","0",0.573099415204671,171
"8-9","1","0",0.733333333332789,15
"11-12-1","1","0",0.878048780477424,41
"2-3","1","0",0.71311475409798,122
"8-9","0","1",0.888888888740991,9
"11-12-1","0","1",0.333333333333423,6
"2-3","0","1",0.645161290322572,744
"8-9","1","1",0.964424871817498,0
"11-12-1","1","1",0.408910139931394,0
"2-3","1","1",0.710843373493624,83
"8-9","0","2",0.379310344827601,29
"11-12-1","0","2",0.200000000000057,5
"2-3","0","2",0.526645768025083,638
"8-9","1","2",0.33359620222804,0
"11-12-1","1","2",0.0771616525606103,0
"2-3","1","2",0.266666666667217,15
