"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"10","0","0",0.0434782608695677,23
"12","0","0",0.100000000000011,32
"1-2-3-4-5","0","0",0.0596026490066219,151
"10","1","0",1.12535174882439e-08,9
"12","1","0",1.57500000000001,40
"1-2-3-4-5","1","0",0.695906432748525,171
"10","0","1",1.12535166825599e-08,1
"12","0","1",8.7186562756255e-09,24
"1-2-3-4-5","0","1",1.36031023686558e-08,24
"10","1","1",5.30291028131073e-09,0
"12","1","1",0.250000000000029,4
"1-2-3-4-5","1","1",0.289156626506048,83
"10","0","2",2.91625848537875e-09,0
"12","0","2",1.12535174692339e-08,1
"1-2-3-4-5","0","2",1.12535174721098e-08,4
"10","1","2",2.22044604925031e-16,0
"12","1","2",1.51804120045774e-08,0
"1-2-3-4-5","1","2",1.12535174718684e-08,2
