id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
1,NA,1,NaT,NA,NA,0,1.406,12,3
2,1,0,NaT,NA,NA,0,0.921,8,3
3,2,1,NaT,NA,NA,2,0.815,8,3
4,3,1,NaT,NA,NA,4,0.71,8,3
5,4,1,2002-09-17,1,1,9,0.606,12,3
6,1,0,NaT,NA,NA,0,0.667,6,3
7,6,1,NaT,NA,NA,0,0.564,6,3
8,7,1,NaT,NA,NA,9,0.462,7,3
9,8,1,NaT,NA,NA,0,0.362,7,3
10,1,0,NaT,NA,NA,0,1.161,9,3
11,10,1,NaT,NA,NA,0,1.052,5,3
12,11,1,NaT,NA,NA,4,0.943,13,3
13,12,0,NaT,NA,NA,3,0.578,6,3
14,13,0,NaT,NA,NA,7,0.457,10,3
15,12,0,NaT,NA,NA,5,0.893,7,3
16,15,0,NaT,NA,NA,5,0.535,9,3
17,15,0,NaT,NA,NA,6,0.571,10,3
18,12,0,NaT,NA,NA,2,0.711,7,3
19,18,0,NaT,NA,NA,5,0.544,9,3
20,18,0,NaT,NA,NA,5,0.467,10,3
