id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,3,NaT,0,NA,0,NA,0,1,NA
1,0,3,NaT,0,NA,0,NA,0,0,NA
2,1,3,NaT,0,NA,0,NA,0,0,NA
3,2,3,NaT,0,NA,0,NA,0,0,NA
4,3,3,NaT,0,NA,0,NA,0,1,NA
5,2,3,NaT,0,NA,0,NA,0,1,NA
6,5,3,NaT,0,NA,0,NA,0,0,NA
7,6,3,NaT,0,NA,2,NA,0,1,NA
8,5,3,NaT,0,NA,0,NA,0,0,NA
9,8,3,NaT,0,NA,1,NA,0,1,NA
10,5,3,NaT,0,NA,0,NA,0,1,NA
11,10,3,NaT,0,NA,2,NA,0,0,NA
12,10,3,NaT,0,NA,2,NA,0,0,NA
13,10,3,NaT,0,NA,1,NA,0,0,NA
14,10,3,NaT,0,NA,2,NA,0,0,NA
15,10,3,NaT,0,NA,1,NA,0,0,NA
16,10,3,NaT,0,NA,1,NA,0,1,NA
17,1,3,NaT,0,NA,0,NA,0,1,NA
18,17,3,NaT,0,NA,0,NA,0,0,NA
19,18,3,NaT,0,NA,0,NA,0,0,NA
20,19,3,NaT,0,NA,1,NA,0,0,NA
21,19,3,NaT,0,NA,2,NA,0,1,NA
22,18,3,NaT,0,NA,0,NA,0,1,NA
23,22,3,NaT,0,NA,1,NA,0,0,NA
24,22,3,NaT,0,NA,0,NA,0,0,NA
25,22,3,NaT,0,NA,2,NA,0,0,NA
26,22,3,NaT,0,NA,0,NA,0,0,NA
27,22,3,NaT,0,NA,1,NA,0,1,NA
28,17,3,NaT,0,NA,0,NA,0,0,NA
29,28,3,NaT,0,NA,0,NA,0,1,NA
30,29,3,NaT,0,NA,0,NA,0,0,NA
31,29,3,NaT,0,NA,0,NA,0,0,NA
32,29,3,NaT,0,NA,1,NA,0,0,NA
33,29,3,NaT,0,NA,0,NA,0,0,NA
34,29,3,NaT,0,NA,1,NA,0,0,NA
35,29,3,NaT,0,NA,2,NA,0,1,NA
36,17,3,NaT,0,NA,0,NA,0,0,NA
37,36,3,NaT,0,NA,0,NA,0,0,NA
38,36,3,NaT,0,NA,0,NA,0,0,NA
39,38,3,NaT,0,NA,1,NA,0,1,NA
40,36,3,NaT,0,NA,0,NA,0,1,NA
41,40,3,NaT,0,NA,1,NA,0,1,NA
42,17,3,NaT,0,NA,0,NA,0,1,NA
43,42,3,NaT,0,NA,0,NA,0,0,NA
44,43,3,NaT,0,NA,0,NA,0,1,NA
45,42,3,NaT,0,NA,0,NA,0,0,NA
46,45,3,NaT,0,NA,1,NA,0,1,NA
47,42,3,NaT,0,NA,0,NA,0,0,NA
48,47,3,NaT,0,NA,0,NA,0,1,NA
49,42,3,NaT,0,NA,0,NA,0,0,NA
50,49,3,NaT,0,NA,1,NA,0,1,NA
51,42,3,NaT,0,NA,0,NA,0,1,NA
52,51,3,NaT,0,NA,1,NA,0,0,NA
53,51,3,NaT,0,NA,1,NA,0,0,NA
54,51,3,NaT,0,NA,1,NA,0,0,NA
55,51,3,NaT,0,NA,1,NA,0,0,NA
56,51,3,NaT,0,NA,1,NA,0,0,NA
57,51,3,NaT,0,NA,1,NA,0,1,NA
58,16,4,NaT,1,1,2,1,0,0,2
59,58,5,NaT,0,0,0,2,0,0,8
60,16,4,NaT,0,1,0,1,0,0,2
61,60,5,NaT,0,0,0,0,0,0,8
62,61,5,NaT,0,0,0,0,0,1,11
63,62,5,NaT,0,0,1,0,1,1,3
64,60,5,NaT,0,0,0,0,0,0,8
65,64,5,NaT,0,0,0,0,0,1,11
66,65,5,NaT,0,0,0,0,0,1,3
67,60,5,NaT,0,0,0,0,0,1,8
68,67,5,NaT,0,0,0,0,0,1,12
69,68,5,NaT,0,0,1,0,1,0,3
70,68,5,NaT,0,0,0,0,0,0,3
71,68,5,NaT,1,0,2,0,2,1,3
72,16,4,NaT,0,1,0,1,0,0,12
73,72,4,NaT,0,1,0,1,0,1,2
74,73,5,NaT,0,1,0,0,0,0,8
75,73,5,NaT,0,1,0,0,0,0,8
76,75,5,NaT,0,1,0,0,0,1,11
77,76,5,NaT,0,1,0,0,0,0,3
78,76,5,NaT,0,1,0,0,0,1,3
79,73,5,NaT,0,1,0,0,0,0,8
80,73,5,NaT,0,1,0,0,0,1,8
81,80,5,NaT,0,1,0,0,0,1,12
82,81,5,NaT,0,1,0,0,0,0,2
83,81,5,NaT,2,1,2,0,1,1,2
84,11,5,NaT,0,0,0,2,0,0,8
85,11,5,NaT,0,0,0,2,0,0,8
86,12,5,NaT,0,0,0,2,0,0,8
87,12,5,NaT,0,0,0,2,0,0,8
88,12,5,NaT,0,0,0,2,0,0,8
89,12,5,NaT,0,0,0,2,0,0,8
90,13,4,NaT,0,0,0,1,0,0,2
91,90,5,NaT,0,0,1,0,1,0,8
92,90,5,NaT,0,0,0,0,0,1,8
93,92,5,NaT,0,0,0,0,0,1,12
94,93,5,NaT,2,0,2,0,1,1,3
95,14,5,NaT,0,0,0,2,0,0,8
96,14,5,NaT,0,0,0,2,0,0,8
97,14,5,NaT,0,0,0,2,0,0,8
98,14,5,NaT,0,0,0,2,0,0,8
99,15,4,NaT,0,0,1,1,1,0,2
100,15,4,NaT,0,0,0,1,0,0,2
101,7,5,NaT,0,1,0,2,0,0,8
102,7,5,NaT,0,1,0,2,0,0,8
103,7,5,NaT,0,1,0,2,0,0,8
104,7,5,NaT,0,1,0,2,0,0,8
105,104,5,NaT,0,1,0,2,0,1,3
106,9,4,NaT,0,1,0,1,0,0,2
107,106,5,NaT,0,0,0,0,0,1,8
108,107,5,NaT,0,0,0,0,0,1,3
109,9,4,NaT,0,1,0,1,0,0,2
110,109,5,NaT,0,0,0,0,0,1,8
111,110,5,NaT,0,0,0,0,0,1,12
112,9,4,NaT,0,1,0,1,0,0,2
113,112,5,NaT,0,0,0,0,0,0,8
114,113,5,NaT,0,0,0,0,0,1,12
115,114,5,NaT,0,0,1,0,1,1,3
116,112,5,NaT,0,0,0,0,0,1,8
117,116,5,NaT,0,0,0,0,0,1,12
118,117,5,NaT,1,0,2,0,2,1,3
119,57,4,NaT,0,1,0,1,0,0,12
120,119,4,NaT,0,1,0,1,0,1,2
121,120,5,NaT,0,1,0,0,0,0,8
122,120,5,NaT,0,1,0,0,0,0,8
