cycle,is_terminal,is_apical,appearance_month,ancestor_nature,ancestor_is_apical,id,parent_id
3,0,1,NA,NA,NA,0,NA
3,0,0,NA,NA,NA,1,0
3,0,0,NA,NA,NA,2,1
3,0,0,NA,NA,NA,3,2
3,1,1,NA,NA,NA,4,3
3,0,1,NA,NA,NA,5,2
3,0,0,NA,NA,NA,6,5
3,1,1,NA,NA,NA,7,6
3,0,0,NA,NA,NA,8,5
3,1,1,NA,NA,NA,9,8
3,0,1,NA,NA,NA,10,5
3,1,0,NA,NA,NA,11,10
3,1,0,NA,NA,NA,12,10
3,1,0,NA,NA,NA,13,10
3,1,1,NA,NA,NA,14,10
3,0,0,NA,NA,NA,15,1
3,0,0,NA,NA,NA,16,15
3,1,1,NA,NA,NA,17,16
3,0,0,NA,NA,NA,18,15
3,1,1,NA,NA,NA,19,18
3,1,0,NA,NA,NA,20,15
3,0,0,NA,NA,NA,21,15
3,0,1,NA,NA,NA,22,21
3,1,1,NA,NA,NA,23,22
3,0,0,NA,NA,NA,24,15
3,0,1,NA,NA,NA,25,24
3,1,0,NA,NA,NA,26,25
3,1,0,NA,NA,NA,27,25
3,1,0,NA,NA,NA,28,25
3,1,1,NA,NA,NA,29,25
3,0,0,NA,NA,NA,30,15
3,0,1,NA,NA,NA,31,30
3,1,0,NA,NA,NA,32,31
3,1,0,NA,NA,NA,33,31
3,1,1,NA,NA,NA,34,31
3,0,1,NA,NA,NA,35,15
3,0,0,NA,NA,NA,36,35
3,1,1,NA,NA,NA,37,36
3,0,0,NA,NA,NA,38,35
3,1,1,NA,NA,NA,39,38
3,0,0,NA,NA,NA,40,35
3,1,1,NA,NA,NA,41,40
3,0,0,NA,NA,NA,42,35
3,1,1,NA,NA,NA,43,42
3,0,1,NA,NA,NA,44,35
3,1,0,NA,NA,NA,45,44
3,1,0,NA,NA,NA,46,44
3,1,1,NA,NA,NA,47,44
5,0,0,9,1,1,48,4
5,1,1,3,1,1,49,48
5,0,0,9,1,1,50,4
5,1,1,3,1,1,51,50
5,0,0,9,1,1,52,4
5,0,0,9,1,1,53,4
5,1,1,3,1,1,54,53
4,1,0,4,1,0,55,12
5,0,1,9,0,0,56,55
5,1,1,3,0,0,57,56
4,1,0,4,1,0,58,12
5,1,0,3,1,1,59,7
4,1,0,10,0,1,60,34
4,0,0,10,0,1,61,34
4,1,0,12,0,1,62,61
4,1,1,12,0,1,63,61
5,1,0,3,2,1,64,63
5,1,0,3,2,1,65,63
5,1,0,3,2,1,66,63
5,1,0,3,2,1,67,63
5,1,0,3,2,1,68,63
5,1,0,3,2,1,69,63
4,0,0,10,0,1,70,34
4,1,1,12,0,1,71,70
5,1,0,3,2,1,72,71
5,1,0,3,2,1,73,71
4,0,0,10,0,1,74,34
4,1,1,12,0,1,75,74
5,1,0,2,0,0,76,74
5,1,0,2,2,1,77,75
5,1,0,3,2,1,78,75
5,0,0,2,2,1,79,75
5,1,1,3,2,1,80,79
4,0,0,10,0,0,81,32
4,1,1,12,0,0,82,81
5,1,0,3,1,1,83,82
5,1,0,3,1,1,84,82
5,1,0,3,1,1,85,82
4,0,0,10,0,0,86,33
4,1,1,12,0,0,87,86
4,1,0,10,0,0,88,33
4,0,0,10,0,1,89,29
4,0,1,12,0,1,90,89
4,1,0,4,0,1,91,90
4,1,0,4,0,1,92,90
4,1,0,4,0,1,93,90
4,1,1,4,0,1,94,90
5,1,0,3,0,1,95,90
5,1,0,3,2,1,96,94
5,1,0,3,2,1,97,94
5,1,0,3,2,1,98,94
5,1,0,3,2,1,99,94
5,1,0,3,2,1,100,94
5,1,0,3,1,0,101,27
5,1,0,3,1,0,102,27
4,0,0,10,0,1,103,47
