id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,3,NaT,0,NA,0,NA,0,1,NA
1,0,3,NaT,0,NA,0,NA,0,0,NA
2,1,3,NaT,0,NA,0,NA,0,1,NA
3,2,3,NaT,0,NA,0,NA,0,0,NA
4,3,3,NaT,0,NA,0,NA,0,1,NA
5,4,3,NaT,0,NA,1,NA,0,1,NA
6,2,3,NaT,0,NA,0,NA,0,0,NA
7,6,3,NaT,0,NA,0,NA,0,1,NA
8,7,3,NaT,0,NA,0,NA,0,0,NA
9,7,3,NaT,0,NA,0,NA,0,1,NA
10,2,3,NaT,0,NA,0,NA,0,0,NA
11,10,3,NaT,0,NA,0,NA,0,0,NA
12,11,3,NaT,0,NA,0,NA,0,1,NA
13,10,3,NaT,0,NA,0,NA,0,0,NA
14,13,3,NaT,0,NA,0,NA,0,0,NA
15,13,3,NaT,0,NA,0,NA,0,1,NA
16,10,3,NaT,0,NA,0,NA,0,1,NA
17,16,3,NaT,0,NA,0,NA,0,1,NA
18,2,3,NaT,0,NA,0,NA,0,1,NA
19,18,3,NaT,0,NA,0,NA,0,0,NA
20,19,3,NaT,0,NA,0,NA,0,1,NA
21,20,3,NaT,0,NA,0,NA,0,0,NA
22,20,3,NaT,0,NA,0,NA,0,1,NA
23,18,3,NaT,0,NA,0,NA,0,0,NA
24,23,3,NaT,0,NA,0,NA,0,0,NA
25,24,3,NaT,0,NA,0,NA,0,1,NA
26,23,3,NaT,0,NA,0,NA,0,1,NA
27,26,3,NaT,0,NA,0,NA,0,1,NA
28,18,3,NaT,0,NA,0,NA,0,1,NA
29,28,3,NaT,0,NA,0,NA,0,1,NA
30,5,4,NaT,0,1,0,1,0,0,12
31,30,4,NaT,2,1,2,1,1,1,2
32,31,5,NaT,0,1,0,2,0,0,3
33,31,5,NaT,0,1,1,2,1,0,3
34,31,5,NaT,0,1,0,2,0,0,3
35,31,5,NaT,0,1,0,2,0,0,3
36,5,4,NaT,0,1,0,1,0,0,12
37,36,5,NaT,0,0,1,0,1,1,3
38,5,4,NaT,0,1,0,1,0,0,12
39,38,5,NaT,0,0,1,0,1,1,9
40,5,4,NaT,0,1,0,1,0,0,12
41,40,5,NaT,0,0,0,0,0,1,9
42,41,5,NaT,1,0,2,0,1,1,3
43,27,4,NaT,0,1,0,0,0,0,10
44,43,4,NaT,0,1,1,0,1,0,12
45,27,4,NaT,0,1,0,0,0,0,10
46,27,4,NaT,0,1,0,0,0,0,10
47,46,4,NaT,0,1,1,0,1,1,12
48,47,5,NaT,0,1,0,1,0,1,10
49,27,4,NaT,0,1,0,0,0,0,10
50,49,4,NaT,1,1,2,0,1,1,12
51,50,5,NaT,0,1,1,2,1,0,3
52,50,5,NaT,0,1,1,2,1,0,3
53,50,5,NaT,0,1,0,2,0,1,10
54,53,5,NaT,0,1,1,2,1,0,3
55,29,4,NaT,0,1,0,0,0,0,10
56,55,4,NaT,0,1,1,0,1,0,12
57,55,4,NaT,0,1,1,0,1,0,12
58,29,4,NaT,0,1,0,0,0,0,10
59,29,4,NaT,0,1,0,0,0,0,10
60,2,4,NaT,0,1,0,0,0,0,10
61,9,4,NaT,0,1,0,0,0,0,10
62,61,4,NaT,0,1,0,0,0,1,12
63,62,4,NaT,1,1,2,0,1,0,3
64,62,4,NaT,0,1,1,0,1,0,3
65,62,4,NaT,0,1,1,0,1,1,3
66,65,5,NaT,0,1,0,1,0,0,3
67,65,5,NaT,1,1,2,1,1,0,3
68,65,5,NaT,0,1,1,1,1,0,3
69,65,5,NaT,0,1,1,1,1,0,3
70,65,5,NaT,1,1,2,1,1,0,3
71,65,5,NaT,0,1,1,1,1,0,3
72,63,5,NaT,0,0,1,2,1,0,3
73,64,5,NaT,1,0,2,1,1,0,3
74,64,5,NaT,0,0,1,1,1,0,3
75,64,5,NaT,0,0,1,1,1,0,3
76,9,4,NaT,0,1,0,0,0,0,10
77,76,4,NaT,0,1,0,0,0,1,12
78,77,4,NaT,3,1,2,0,1,1,4
79,9,4,NaT,0,1,0,0,0,0,10
80,79,4,NaT,0,1,0,0,0,1,12
81,80,5,NaT,0,1,1,0,1,0,3
82,80,5,NaT,0,1,1,0,1,0,3
83,80,5,NaT,0,1,1,0,1,0,3
84,9,4,NaT,0,1,0,0,0,0,10
85,84,4,NaT,0,1,0,0,0,1,12
86,85,4,NaT,3,1,2,0,1,1,3
87,86,5,NaT,0,1,1,2,1,0,3
88,86,5,NaT,0,1,1,2,1,0,3
89,86,5,NaT,1,1,2,2,1,0,3
90,86,5,NaT,0,1,1,2,1,0,3
91,86,5,NaT,0,1,1,2,1,0,3
92,86,5,NaT,0,1,1,2,1,0,3
93,17,4,NaT,0,1,0,0,0,0,10
94,93,4,NaT,0,1,0,0,0,1,12
95,17,4,NaT,0,1,0,0,0,0,10
96,17,4,NaT,0,1,0,0,0,0,10
97,96,4,NaT,0,1,0,0,0,1,12
98,97,4,NaT,0,1,1,0,1,0,4
99,97,4,NaT,1,1,2,0,1,1,4
100,97,5,NaT,0,1,1,0,1,0,3
101,17,4,NaT,0,1,0,0,0,0,10
102,101,4,NaT,0,1,0,0,0,1,12
103,102,4,NaT,0,1,1,0,1,0,4
104,102,4,NaT,0,1,1,0,1,0,4
105,102,4,NaT,0,1,1,0,1,0,4
106,102,4,NaT,0,1,0,0,0,1,4
107,106,5,NaT,0,1,0,0,0,0,3
108,103,5,NaT,0,0,1,1,1,0,3
109,104,5,NaT,2,0,2,1,1,0,3
110,104,5,NaT,0,0,1,1,1,0,3
111,104,5,NaT,0,0,1,1,1,0,3
112,104,5,NaT,0,0,1,1,1,0,3
113,104,5,NaT,0,0,1,1,1,0,3
114,104,5,NaT,0,0,1,1,1,0,3
115,18,4,NaT,0,1,0,0,0,0,10
116,18,4,NaT,0,1,0,0,0,0,10
117,22,4,NaT,0,1,0,0,0,0,10
118,117,4,NaT,0,1,0,0,0,0,12
119,118,4,NaT,2,1,2,0,1,0,3
120,118,4,NaT,0,1,1,0,1,1,3
121,117,4,NaT,0,1,0,0,0,1,12
122,121,4,NaT,0,1,1,0,1,1,3
123,122,5,NaT,0,1,1,1,1,0,3
124,122,5,NaT,0,1,1,1,1,0,3
125,122,5,NaT,1,1,2,1,1,0,3
126,122,5,NaT,0,1,1,1,1,0,3
