"Nb_Inflorescences","Burst_Month","Position_A","probability","number"
"1","10","0",0.0434782608695296,23
"2","10","0",0.999999936107843,1
"3","10","0",0.999999285539142,0
"4","10","0",2.22044604925031e-16,0
"5","10","0",2.22044604925031e-16,0
"6","10","0",2.22044604925031e-16,0
"1","12","0",0.137254901960745,51
"2","12","0",0.0670717878356897,0
"3","12","0",0.269663801418021,0
"4","12","0",6.38922114630203e-08,1
"5","12","0",1,0
"6","12","0",1,0
"1","1-2","0",0.297709923664109,131
"2","1-2","0",0.599999999999829,5
"3","1-2","0",6.38921977211725e-08,2
"4","1-2","0",3.84534623317722e-08,0
"5","1-2","0",1,0
"6","1-2","0",1,0
"1","3-4-5","0",0.292682926829182,41
"2","3-4-5","0",0.99999999998538,0
"3","3-4-5","0",2.22044604925031e-16,0
"4","3-4-5","0",2.22044604925031e-16,0
"5","3-4-5","0",2.22044604925031e-16,0
"6","3-4-5","0",2.22044604925031e-16,0
"1","10","1",0.111111111111026,9
"2","10","1",0.999999973001749,0
"3","10","1",1,0
"4","10","1",2.22044604925031e-16,0
"5","10","1",2.22044604925031e-16,0
"6","10","1",2.22044604925031e-16,0
"1","12","1",0.391304347826057,23
"2","12","1",0.199999999999853,5
"3","12","1",0.999999936107781,2
"4","12","1",0.799999999999852,5
"5","12","1",0.999999936107797,5
"6","12","1",0.750000000000165,4
"1","1-2","1",0.486842105263154,152
"2","1-2","1",0.742857142856982,35
"3","1-2","1",0.59999999999976,20
"4","1-2","1",0.571428571428397,7
"5","1-2","1",0.800000000000024,5
"6","1-2","1",0.999999936107795,5
"1","3-4-5","1",0.419354838709644,31
"2","3-4-5","1",0.999999999990266,0
"3","3-4-5","1",6.38921723743304e-08,1
"4","3-4-5","1",2.22044604925031e-16,0
"5","3-4-5","1",2.22044604925031e-16,0
"6","3-4-5","1",2.22044604925031e-16,0
