"Flowering_Week","Nature_Ancestor_F","probability","number"
"1-2-3","0",0.272727272727332,11
"4","0",0.263157894736878,38
"5-6","0",0.38461538461539,130
"7-8-9","0",0.266666666666647,75
"10","0",6.38922005046177e-08,9
"11-12","0",6.38922019098853e-08,4
"1-2-3","1",0.375000000000056,16
"4","1",0.148148148148193,27
"5-6","1",0.301886792452846,318
"7-8-9","1",0.137724550898198,167
"10","1",0.272727272727246,11
"11-12","1",6.38922039316852e-08,9
"1-2-3","2",0.384615384615461,13
"4","2",0.275000000000022,40
"5-6","2",0.308641975308654,162
"7-8-9","2",0.157024793388414,121
"10","2",0.0769230769230909,13
"11-12","2",6.38922041135942e-08,2
