"Burst_Month","Position_A","Nature_F","probability","number"
"9-10","0","0",0.163559898685487,35
"12","0","0",0.326223268732841,21
"1-2-3-4-5","0","0",0.86807253696336,65
"9-10","1","0",0.206854867818921,11
"12","1","0",0.716437118870127,3
"1-2-3-4-5","1","0",0.949117324906483,28
"9-10","0","1",0.136475147750353,24
"12","0","1",0.255380903975231,51
"1-2-3-4-5","0","1",0.717601362810039,125
"9-10","1","1",0.0724596453991651,10
"12","1","1",0.39877869486317,20
"1-2-3-4-5","1","1",0.727498580406206,120
"9-10","0","2",4.54141580815616e-07,2
"12","0","2",0.446412179124819,7
"1-2-3-4-5","0","2",0.52500208629321,55
"9-10","1","2",5.30137474057591e-07,2
"12","1","2",0.786463114421927,24
"1-2-3-4-5","1","2",0.732789023578791,138
