id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
1,NA,1,NaT,NA,NA,0,1.572,5,3
2,1,1,NaT,NA,NA,0,1.457,7,3
3,2,1,NaT,NA,NA,0,1.344,8,3
4,3,0,NaT,NA,NA,0,0.647,11,3
5,4,0,NaT,NA,NA,0,0.53,5,3
6,5,1,NaT,NA,NA,0,0.429,4,3
7,6,0,NaT,NA,NA,6,0.458,5,3
8,7,1,NaT,NA,NA,8,0.358,7,3
9,3,0,NaT,NA,NA,2,0.249,5,3
10,3,0,NaT,NA,NA,0,0.798,10,3
11,10,0,NaT,NA,NA,0,0.616,8,3
12,11,0,NaT,NA,NA,0,0.38,5,3
13,12,1,NaT,NA,NA,5,0.281,5,3
14,11,0,NaT,NA,NA,1,0.485,6,3
15,14,0,NaT,NA,NA,6,0.371,7,3
16,14,0,NaT,NA,NA,5,0.313,7,3
17,10,0,NaT,NA,NA,0,0.448,6,3
18,17,0,NaT,NA,NA,5,0.496,6,3
19,3,0,NaT,NA,NA,0,1.39,11,3
20,19,0,NaT,NA,NA,0,0.602,8,3
21,20,1,NaT,NA,NA,0,0.5,5,3
22,21,1,NaT,NA,NA,2,0.399,4,3
23,22,1,NaT,NA,NA,7,0.299,7,3
24,21,0,NaT,NA,NA,3,0.318,4,3
25,19,0,NaT,NA,NA,0,0.799,15,3
26,25,0,NaT,NA,NA,0,0.641,9,3
27,26,0,NaT,NA,NA,6,0.324,4,3
28,26,0,NaT,NA,NA,6,0.342,6,3
29,26,0,NaT,NA,NA,4,0.412,6,3
30,29,1,NaT,NA,NA,4,0.312,4,3
31,19,0,NaT,NA,NA,0,1.006,14,3
32,31,0,NaT,NA,NA,0,0.492,7,3
33,32,0,NaT,NA,NA,0,0.391,6,3
34,33,0,NaT,NA,NA,2,0.267,4,3
35,33,0,NaT,NA,NA,5,0.328,6,3
36,31,0,NaT,NA,NA,0,0.742,6,3
37,36,0,NaT,NA,NA,0,0.638,6,3
38,37,0,NaT,NA,NA,3,0.393,4,3
39,38,1,NaT,NA,NA,1,0.293,4,3
40,37,0,NaT,NA,NA,4,0.612,8,3
41,40,0,NaT,NA,NA,5,0.417,7,3
42,40,0,NaT,NA,NA,4,0.362,5,3
43,31,0,NaT,NA,NA,0,0.733,6,3
44,43,1,NaT,NA,NA,0,0.629,4,3
45,44,0,NaT,NA,NA,0,0.342,5,3
46,45,0,NaT,NA,NA,7,0.292,5,3
47,44,0,NaT,NA,NA,1,0.588,7,3
48,47,1,NaT,NA,NA,5,0.486,7,3
49,47,0,NaT,NA,NA,7,0.346,7,3
50,2,0,NaT,NA,NA,0,0.886,11,3
51,50,1,NaT,NA,NA,0,0.78,6,3
52,51,0,NaT,NA,NA,3,0.645,4,3
53,52,1,NaT,NA,NA,6,0.542,5,3
54,53,1,2002-09-07,1,1,12,0.441,8,3
55,1,0,NaT,NA,NA,3,0.293,5,3
